Wavelength (nm),I
380.5,0.015600654
381.3,0.015535238
382.2,0.015448771
383,0.015703088
383.9,0.015531282
384.7,0.015229775
385.6,0.0150656
386.4,0.015320764
387.3,0.015465443
388.1,0.015796055
388.9,0.015983684
389.8,0.016294799
390.6,0.016163967
391.5,0.016034548
392.3,0.016001486
393.2,0.016004595
394,0.015884783
394.9,0.015672287
395.7,0.015583276
396.6,0.015673135
397.4,0.015531282
398.3,0.015618033
399.1,0.015743213
400,0.016072978
400.8,0.016304406
401.6,0.016119885
402.5,0.015801989
403.3,0.01532246
404.2,0.015516871
405,0.015597122
405.9,0.016098127
406.7,0.016381832
407.6,0.016540073
408.4,0.01630045
409.3,0.016105474
410.1,0.015943559
411,0.016378723
411.8,0.01622472
412.7,0.016405568
413.5,0.016137405
414.3,0.016585568
415.2,0.016778566
416,0.016992475
416.9,0.016812193
417.7,0.01712698
418.6,0.017091941
419.4,0.017423401
420.3,0.017391753
421.1,0.017940512
422,0.017631659
422.8,0.017799225
423.7,0.017678001
424.5,0.018089147
425.4,0.018118252
426.2,0.01778877
427,0.017916494
427.9,0.018347985
428.7,0.018962867
429.6,0.019018534
430.4,0.019153887
431.3,0.01922227
432.1,0.019834044
433,0.01971621
433.8,0.019699256
434.7,0.019694452
435.5,0.020138659
436.4,0.020610559
437.2,0.020200826
438.1,0.020251972
438.9,0.020015174
439.7,0.02017935
440.6,0.019799852
441.4,0.019920512
442.3,0.019958377
443.1,0.020360198
444,0.020457403
444.8,0.02070183
445.7,0.020391563
446.5,0.02025395
447.4,0.020157592
448.2,0.020435928
449.1,0.020567325
449.9,0.020654923
450.7,0.020284185
451.6,0.019742772
452.4,0.019694452
453.3,0.020013196
454.1,0.020489334
455,0.020340983
455.8,0.020491877
456.7,0.020632034
457.5,0.020949083
458.4,0.020389868
459.2,0.019754075
460.1,0.0193353
460.9,0.019383338
461.8,0.019778942
462.6,0.019798722
463.4,0.020287011
464.3,0.020423777
465.1,0.020832097
466,0.020545001
466.8,0.020418973
467.7,0.02022654
468.5,0.020527482
469.4,0.020695614
470.2,0.02128902
471.1,0.020914044
471.9,0.021082458
472.8,0.021000794
473.6,0.021437372
474.5,0.021423525
475.3,0.021373227
476.1,0.02141307
477,0.022138721
477.8,0.022745126
478.7,0.022966947
479.5,0.022568517
480.4,0.022565974
481.2,0.022888392
482.1,0.023625063
482.9,0.023522489
483.8,0.024257182
484.6,0.024055707
485.5,0.024150934
486.3,0.024117873
487.2,0.024454984
488,0.024678501
488.8,0.025265973
489.7,0.025770934
490.5,0.026447135
491.4,0.025848924
492.2,0.026084026
493.1,0.026510149
