Latest: Wavelength (nm),Latest: Intensity (rel)
400,0.016487712
400.8,0.016383442
401.6,0.016523317
402.5,0.016686927
403.3,0.016196095
404.2,0.01596721
405,0.016245263
405.9,0.016676755
406.7,0.017687241
407.6,0.017263379
408.4,0.017478701
409.3,0.016756441
410.1,0.016813238
411,0.017080271
411.8,0.017109094
412.7,0.017281181
413.5,0.017259988
414.3,0.018193332
415.2,0.019245357
416,0.019915906
416.9,0.019850631
417.7,0.02056611
418.6,0.020649187
419.4,0.021102719
420.3,0.020202436
421.1,0.020399956
422,0.020049846
422.8,0.02036859
423.7,0.020741588
424.5,0.021535905
425.4,0.021954681
426.2,0.021918229
427,0.022053864
427.9,0.022454838
428.7,0.022878699
429.6,0.022809186
430.4,0.023511101
431.3,0.023416156
432.1,0.024434272
433,0.024131634
433.8,0.023967176
434.7,0.023785763
435.5,0.023962938
436.4,0.025173487
437.2,0.025274366
438.1,0.025938133
438.9,0.025471885
439.7,0.025679577
440.6,0.025623628
441.4,0.0266392
442.3,0.026631571
443.1,0.026422183
444,0.025771979
444.8,0.025768588
445.7,0.025588871
446.5,0.02579402
447.4,0.025568526
448.2,0.025504099
449.1,0.0247776
449.9,0.025466799
450.7,0.025666014
451.6,0.025588023
452.4,0.025146359
453.3,0.02514975
454.1,0.025600739
455,0.025260802
455.8,0.025114994
456.7,0.025007333
457.5,0.025035308
458.4,0.024474962
459.2,0.023575528
460.1,0.022943974
460.9,0.022764257
461.8,0.022909217
462.6,0.022849029
463.4,0.023021117
464.3,0.023113519
465.1,0.023128778
466,0.022797318
466.8,0.02282275
467.7,0.02240906
468.5,0.022624382
469.4,0.022686266
470.2,0.02334749
471.1,0.022985512
471.9,0.022652357
472.8,0.022017412
473.6,0.021779202
474.5,0.021691886
475.3,0.021529971
476.1,0.021225639
477,0.021019642
477.8,0.020807711
478.7,0.021241745
479.5,0.021597789
480.4,0.022153896
481.2,0.022150505
482.1,0.022671007
482.9,0.021808025
483.8,0.02236837
484.6,0.021490976
485.5,0.021850411
486.3,0.0212587
487.2,0.021043378
488,0.021922467
488.8,0.022604037
489.7,0.023484822
490.5,0.023803566
491.4,0.023505167
492.2,0.023580614
493.1,0.023443283
493.9,0.02385019
494.8,0.023968024
495.6,0.023656909
496.5,0.023784916
497.3,0.023732357
498.2,0.024553801
499,0.024337631
499.9,0.024083314
