Latest: Wavelength (nm),Latest: Intensity (rel)
400,0.016341438
400.8,0.016416037
401.6,0.016117639
402.5,0.016440621
403.3,0.016699177
404.2,0.016694938
405,0.016780558
405.9,0.017258674
406.7,0.018205581
407.6,0.018316633
408.4,0.018141154
409.3,0.017649475
410.1,0.01772577
411,0.017839365
411.8,0.018048753
412.7,0.018117418
413.5,0.018157261
414.3,0.018354781
415.2,0.018775252
416,0.019419521
416.9,0.019882378
417.7,0.020302849
418.6,0.020843697
419.4,0.021011546
420.3,0.020861499
421.1,0.021176004
422,0.021312488
422.8,0.02206018
423.7,0.022001687
424.5,0.022311954
425.4,0.022083068
426.2,0.022356035
427,0.022780745
427.9,0.023720022
428.7,0.024112518
429.6,0.024487212
430.4,0.024486364
431.3,0.024385485
432.1,0.02400401
433,0.023738672
433.8,0.023733586
434.7,0.024229504
435.5,0.025178954
436.4,0.026022439
437.2,0.026165705
438.1,0.026302188
438.9,0.025662157
439.7,0.025757102
440.6,0.025789315
441.4,0.026291168
442.3,0.026123318
443.1,0.025906301
444,0.025756254
444.8,0.026209786
445.7,0.02645054
446.5,0.026093648
447.4,0.025603664
448.2,0.025065359
449.1,0.025496851
449.9,0.02623437
450.7,0.026406458
451.6,0.025968185
452.4,0.025489221
453.3,0.025429033
454.1,0.025372235
455,0.025428185
455.8,0.024769504
456.7,0.024802565
457.5,0.024217636
458.4,0.024594025
459.2,0.024221027
460.1,0.023565737
460.9,0.022777354
461.8,0.022679018
462.6,0.022639175
463.4,0.023137636
464.3,0.022962158
465.1,0.022994371
466,0.021934717
466.8,0.021987276
467.7,0.021919458
468.5,0.022182252
469.4,0.022241593
470.2,0.021788908
471.1,0.021488814
471.9,0.020850479
472.8,0.021181938
473.6,0.021548155
474.5,0.021484576
475.3,0.020799615
476.1,0.020588532
477,0.020396947
477.8,0.020972551
478.7,0.020642786
479.5,0.020718234
480.4,0.02057073
481.2,0.020488501
482.1,0.020260463
482.9,0.020059553
483.8,0.020324042
484.6,0.020641091
485.5,0.020340149
486.3,0.02008668
487.2,0.019826429
488,0.019570416
488.8,0.019849317
489.7,0.019886617
490.5,0.020448658
491.4,0.020439333
492.2,0.020487653
493.1,0.021241279
493.9,0.021296381
494.8,0.021413367
495.6,0.020509694
496.5,0.020252834
497.3,0.020424921
498.2,0.020445267
499,0.020411358
499.9,0.020205361
500.7,0.020665675
501.5,0.020898799
502.4,0.020903885
503.2,0.021002221
504.1,0.0210658
504.9,0.021229411
505.8,0.021325204
506.6,0.021417606
507.5,0.021014089
508.3,0.020660588
509.2,0.020903885
510,0.021153964
510.9,0.021420996
511.7,0.021258234
512.5,0.022207684
513.3,0.02184062
514.1,0.021558328
514.9,0.020750447
515.7,0.020823351
516.5,0.020810636
517.3,0.020636005
518,0.020918296
518.8,0.020311326
519.6,0.020360494
520.4,0.020218925
521.2,0.02099883
522,0.021307401
522.8,0.02098781
523.6,0.021032739
524.3,0.020713995
525.1,0.020705518
525.9,0.020450353
526.7,0.020529191
527.5,0.020504607
528.3,0.020847935
529.1,0.02079792
529.9,0.020498673
530.6,0.019867967
531.4,0.019834058
