W,I
400,0.016132997
400.8,0.016103326
401.6,0.015999904
402.5,0.016366968
403.3,0.016339558
404.2,0.016660563
405,0.016625806
405.9,0.016855257
406.7,0.017262447
407.6,0.017251426
408.4,0.017073404
409.3,0.016651238
410.1,0.016927313
411,0.016955853
411.8,0.017016889
412.7,0.01714207
413.5,0.017277988
414.3,0.017752996
415.2,0.017904456
416,0.018196921
416.9,0.018079087
417.7,0.018474126
418.6,0.018603545
419.4,0.018703859
420.3,0.018504079
421.1,0.018647627
422,0.018587156
422.8,0.018944047
423.7,0.019160499
424.5,0.019566842
425.4,0.019365649
426.2,0.019354063
427,0.019485178
427.9,0.020148662
428.7,0.02036568
429.6,0.020766653
430.4,0.020716072
431.3,0.020865554
432.1,0.020887595
433,0.02104075
433.8,0.021174973
434.7,0.021150954
435.5,0.021185146
436.4,0.021289981
437.2,0.021264549
438.1,0.021484957
438.9,0.021811613
439.7,0.021706778
440.6,0.021513497
441.4,0.021314282
442.3,0.021744078
443.1,0.021878583
444,0.021857108
444.8,0.021998678
445.7,0.021763858
446.5,0.021572555
447.4,0.021727971
448.2,0.022180656
449.1,0.02208232
449.9,0.022056888
450.7,0.021775444
451.6,0.021671174
452.4,0.021232618
453.3,0.020883921
454.1,0.021094722
455,0.020957391
455.8,0.021243356
456.7,0.021232618
457.5,0.021107155
458.4,0.020969541
459.2,0.020367375
460.1,0.020258019
460.9,0.020002854
461.8,0.020068976
462.6,0.01974006
463.4,0.019701064
464.3,0.019817203
465.1,0.020037328
466,0.019800531
466.8,0.019697391
467.7,0.019425554
468.5,0.019323828
469.4,0.019121504
470.2,0.01922973
471.1,0.018942635
471.9,0.018780154
472.8,0.01871488
473.6,0.018923419
474.5,0.019097485
475.3,0.018993215
476.1,0.018954503
477,0.019104832
477.8,0.019274942
478.7,0.019591426
479.5,0.01942838
480.4,0.019291049
481.2,0.018945743
482.1,0.019143828
482.9,0.018917768
483.8,0.019291897
484.6,0.019179715
485.5,0.019207972
486.3,0.018755853
487.2,0.018738898
488,0.01884006
488.8,0.01916389
489.7,0.019587752
490.5,0.020039306
491.4,0.019869479
492.2,0.019476418
493.1,0.019492524
493.9,0.019472462
494.8,0.019708694
495.6,0.019592273
496.5,0.02010995
497.3,0.020122948
498.2,0.019913843
499,0.019549322
499.9,0.019575319
500.7,0.020040719
501.5,0.020356637
502.4,0.020181724
503.2,0.020047783
504.1,0.020331488
504.9,0.020436323
505.8,0.02049199
506.6,0.020200374
507.5,0.020217611
508.3,0.020151206
509.2,0.020003137
510,0.020184832
510.9,0.020679337
511.7,0.021132304
512.5,0.020848882
513.3,0.020569981
514.1,0.020271865
514.9,0.020702791
515.7,0.020774
516.5,0.020539463
517.3,0.020183137
518,0.019900562
518.8,0.020031394
519.6,0.019866653
520.4,0.019873152
521.2,0.019920625
522,0.020162509
522.8,0.020345052
523.6,0.020402132
524.3,0.020362289
525.1,0.020131425
525.9,0.019709824
526.7,0.019962728
527.5,0.02013849
528.3,0.02070816
