fluoorescent2: Wavelength (nm),fluoorescent2: Intensity (rel),LED1: Intensity (rel),LED2: Intensity (rel),incandescent1: Intensity (rel),incandescent2: Intensity (rel),fluorescent1: Intensity (rel)
380.6,0.021038122,0.022615396,0.019219755,0.018515806,0.019150835,0.020178149
381.5,0.021198766,0.022411943,0.019150242,0.018731551,0.019418716,0.020539279
382.3,0.021535312,0.022445004,0.018728076,0.01911557,0.019285623,0.021478557
383.2,0.020931733,0.022642524,0.018635674,0.019634377,0.019713724,0.021528573
384.1,0.020300179,0.022473827,0.018766223,0.019820028,0.019400914,0.022171147
385,0.02048583,0.022705255,0.019363021,0.020037046,0.019780694,0.022235574
385.9,0.021022439,0.022868866,0.019867416,0.01972254,0.019694226,0.022505998
386.8,0.021805736,0.0234148,0.019952188,0.019831896,0.019981604,0.022151649
387.7,0.021937981,0.023587735,0.020011529,0.019558082,0.020385968,0.022092309
388.5,0.022097353,0.023396997,0.020120885,0.019634377,0.020300348,0.021958368
389.4,0.022108373,0.023479227,0.0203574,0.019768317,0.020641133,0.022247442
390.3,0.022045641,0.023369022,0.020456584,0.019693718,0.020108763,0.02267639
391.2,0.022353365,0.023372413,0.020398091,0.019849699,0.019801039,0.023120597
392.1,0.02237032,0.023611471,0.019970838,0.020173529,0.019658622,0.023025652
393,0.022605987,0.023218975,0.019330807,0.020544832,0.020246942,0.02290358
393.9,0.022179582,0.023869179,0.019676678,0.020353246,0.021070081,0.023240126
394.7,0.022637352,0.023918347,0.020257369,0.02004298,0.02154735,0.02338763
395.6,0.022996787,0.024404941,0.020960132,0.019886151,0.02111162,0.023297771
396.5,0.023240084,0.024314234,0.021059315,0.020538898,0.021028543,0.02366314
397.4,0.023246866,0.024643151,0.021399252,0.020305774,0.020415639,0.024036986
398.3,0.02316718,0.024883057,0.021511152,0.020815256,0.020403771,0.02420314
399.2,0.023778388,0.025396777,0.0214374,0.020665209,0.020691997,0.024560879
400.1,0.024334495,0.02553326,0.021224621,0.020885617,0.021102295,0.025182261
400.9,0.025086425,0.026151251,0.021367039,0.021276417,0.022044963,0.026011334
401.8,0.025238168,0.026052915,0.021739189,0.02140188,0.021679594,0.026218179
402.7,0.024696473,0.026357248,0.021885846,0.021834219,0.021582954,0.026191899
403.6,0.025052516,0.026502208,0.022181701,0.02140951,0.021495638,0.026701381
404.5,0.025601841,0.027261769,0.021614574,0.02166637,0.021890678,0.026801412
405.4,0.026072328,0.028129837,0.022024872,0.021764706,0.022569704,0.027527911
406.3,0.026382595,0.029427702,0.022407195,0.022045302,0.023098683,0.028472275
407.2,0.026787806,0.030096556,0.023903427,0.022581064,0.023157176,0.029117393
408,0.028161966,0.031063808,0.024074667,0.022886244,0.023039343,0.029743013
408.9,0.029021558,0.031396116,0.024389173,0.022456448,0.022497648,0.029618397
409.8,0.029547994,0.032782144,0.024630774,0.021931707,0.0230741,0.031022227
410.7,0.029956597,0.033899443,0.024885091,0.022142791,0.023341132,0.03210477
411.6,0.031518951,0.035446538,0.024800319,0.023113434,0.024036266,0.034345303
412.5,0.035631257,0.036901232,0.025603961,0.023395726,0.024215135,0.038488128
413.4,0.039935149,0.038906945,0.026744996,0.023258395,0.024543204,0.041739147
414.2,0.041561083,0.041698499,0.028155608,0.023158363,0.024114256,0.044599366
415.1,0.041614489,0.044725719,0.028955011,0.023175318,0.023862482,0.044718047
416,0.042744505,0.048203081,0.030215576,0.023450828,0.024125277,0.048090291
416.9,0.046256623,0.052063613,0.03163297,0.02398235,0.024878903,0.051754999
417.8,0.04863703,0.056485339,0.032927443,0.023951832,0.025031493,0.05477459
418.7,0.050363843,0.062143893,0.034399091,0.024169697,0.02505862,0.056230131
419.6,0.050945381,0.068122038,0.035918212,0.02369582,0.024834821,0.057569535
420.4,0.053319855,0.0746529,0.036932937,0.0245037,0.024969609,0.059537948
421.3,0.055779948,0.0815042,0.038102795,0.02512932,0.024911964,0.062065012
422.2,0.059477718,0.089956851,0.040050863,0.025409069,0.025019625,0.066267177
423.1,0.062782991,0.100266016,0.043672338,0.025646432,0.025810551,0.07082369
424,0.06533803,0.111180455,0.047816858,0.024983512,0.026130143,0.073465197
424.9,0.066189144,0.12294177,0.05127896,0.025022507,0.026545527,0.074096751
425.8,0.067613319,0.134709867,0.05413155,0.025304799,0.026000441,0.075626044
426.6,0.069023084,0.147722421,0.057186745,0.026051643,0.026158117,0.078046294
427.5,0.072152878,0.16018989,0.061004891,0.026692522,0.026252215,0.081009088
428.4,0.075608199,0.17400863,0.065175691,0.02676034,0.026666751,0.084103278
429.3,0.081411714,0.18719412,0.070073837,0.026822224,0.027159279,0.089935615
430.2,0.08593008,0.200859422,0.074736316,0.027117232,0.027628918,0.096586006
431.1,0.091222417,0.215154582,0.079101244,0.027884421,0.027711994,0.103809457
432,0.093859685,0.229165755,0.082885481,0.027939523,0.027919687,0.107753914
432.8,0.096826717,0.243457525,0.087584412,0.027997169,0.028096861,0.10980371
433.7,0.098116104,0.255910582,0.093265007,0.028068377,0.028288446,0.110716708
434.6,0.099509762,0.268881598,0.09836152,0.02832439,0.028211304,0.112401982
435.5,0.099113875,0.28081161,0.102151692,0.028861847,0.028456296,0.113332782
436.4,0.098425523,0.291820995,0.106267389,0.028278613,0.028580063,0.113300569
437.3,0.098334817,0.302609123,0.110507702,0.029093275,0.028981884,0.113379407
438.2,0.100319337,0.311943406,0.114695455,0.028950857,0.02889033,0.115499563
439,0.104085773,0.32088265,0.117129269,0.029503573,0.029529513,0.118861635
439.9,0.105409917,0.327249053,0.120676992,0.028949162,0.029444741,0.120929232
440.8,0.103861126,0.334621703,0.123100633,0.029101752,0.029387096,0.11751545
441.7,0.098418741,0.339637683,0.125481041,0.029090732,0.029081068,0.112002704
442.6,0.093706247,0.342743742,0.126900977,0.029626493,0.02918449,0.106299221
443.5,0.090203454,0.343933098,0.128187822,0.029630732,0.030077991,0.102656553
444.4,0.08709909,0.343259158,0.128057272,0.029768063,0.03048405,0.09856544
445.2,0.08309614,0.34342192,0.127340946,0.02980621,0.030779906,0.094099633
446.1,0.079358528,0.341111026,0.126576299,0.030713275,0.031046091,0.091159728
447,0.076259251,0.338177903,0.126545781,0.03113205,0.031751397,0.089566008
447.9,0.076547477,0.332901673,0.124388325,0.031675441,0.032507566,0.08976268
448.8,0.076594102,0.327589837,0.121725626,0.031168502,0.032841569,0.089443936
449.7,0.076678026,0.32091232,0.118527165,0.031535566,0.033207785,0.089534642
450.6,0.076175326,0.313984724,0.11577376,0.031909412,0.033541789,0.088859007
451.5,0.076329612,0.30529895,0.112360825,0.032771547,0.033468037,0.088587735
452.3,0.077066283,0.297073489,0.109012317,0.033500589,0.033629104,0.088464815
453.2,0.077866534,0.287753618,0.106014767,0.033657418,0.034097895,0.088668269
454.1,0.078593033,0.278534625,0.10357841,0.034038046,0.034595509,0.089852539
455,0.079118622,0.269535193,0.100827548,0.033947339,0.034846435,0.090189085
455.9,0.07889228,0.262237142,0.097817282,0.034483101,0.035397455,0.090833355
456.8,0.07885498,0.254179531,0.094962149,0.034711138,0.035980689,0.091468299
457.7,0.079121165,0.247496079,0.092230784,0.035166366,0.036605461,0.092636462
458.5,0.07832261,0.239239253,0.089151853,0.035290133,0.036087502,0.093025567
459.4,0.077802955,0.232646508,0.086019515,0.035189254,0.036231615,0.091606478
460.3,0.076837398,0.225917279,0.082910065,0.035606334,0.036324865,0.091134296
461.2,0.07714936,0.218678569,0.080466078,0.035856413,0.037409951,0.090180607
462.1,0.077070522,0.212169748,0.07822385,0.036719395,0.038006748,0.09001954
463,0.07649407,0.204870002,0.075712893,0.036658359,0.038926528,0.089112476
463.9,0.07450955,0.19806363,0.072924731,0.036861813,0.038886685,0.087018599
464.7,0.073119283,0.190707086,0.071365767,0.037783288,0.039393623,0.08598692
465.6,0.071690869,0.183076727,0.069146427,0.037977417,0.039459746,0.084135492
466.5,0.070643083,0.175679493,0.067595093,0.038656443,0.039794597,0.082974958
467.4,0.068694167,0.168693404,0.064596696,0.038016412,0.038978239,0.08064711
468.3,0.067372566,0.163863076,0.062673211,0.038308877,0.038400939,0.078192103
469.2,0.066681671,0.15967617,0.060720904,0.037946051,0.038778176,0.07689339
470.1,0.066043336,0.156201351,0.059668879,0.037901969,0.039205429,0.076164348
470.9,0.06543467,0.152585811,0.058682129,0.037651891,0.039953121,0.076421208
471.8,0.065495706,0.149870553,0.057764045,0.037801938,0.039464832,0.076027017
472.7,0.06627985,0.148452311,0.05688326,0.038246993,0.039835287,0.076717064
473.6,0.06753109,0.147049329,0.056757797,0.038439426,0.039684393,0.077918288
474.5,0.068549206,0.147751244,0.057597043,0.038575062,0.040315947,0.079221239
475.4,0.070043743,0.148125938,0.058065834,0.038521655,0.040956825,0.081399888
476.3,0.071618813,0.149384807,0.058554123,0.038926019,0.04094411,0.083604817
477.1,0.073131999,0.150820851,0.058643134,0.038852267,0.041060248,0.086477751
478,0.074505311,0.154289735,0.060046116,0.03926087,0.040427846,0.088597908
478.9,0.076536456,0.158070581,0.060845519,0.039895815,0.040833058,0.089759289
479.8,0.078798182,0.162377864,0.062253588,0.040535846,0.041388317,0.091993888
480.7,0.081596518,0.16733196,0.063326806,0.041559048,0.042750608,0.09495329
481.6,0.083536957,0.173641566,0.065435942,0.041722659,0.043396574,0.098702771
482.5,0.087301696,0.180467435,0.067420462,0.04234404,0.043889949,0.102715894
483.3,0.091024898,0.187446742,0.070212863,0.04205751,0.044098489,0.106415359
484.2,0.094085179,0.194721057,0.072891669,0.043183286,0.044368912,0.109821512
485.1,0.096702949,0.203798479,0.075642532,0.044147148,0.044529132,0.113312437
486,0.098331426,0.213381145,0.078773175,0.045247493,0.045429414,0.115959877
486.9,0.10008367,0.223252037,0.082516721,0.045164416,0.046584014,0.117295889
487.8,0.100259149,0.232778753,0.085525292,0.046638607,0.04857023,0.117250112
488.7,0.099419055,0.241657808,0.089312072,0.047538889,0.049835033,0.116049736
489.5,0.097922823,0.251861855,0.092294363,0.04891644,0.051353306,0.113955011
490.4,0.094132652,0.261711554,0.097049244,0.048961369,0.051638988,0.109774039
491.3,0.091019811,0.272525962,0.100278223,0.049848936,0.052372269,0.104662267
492.2,0.086956673,0.281967905,0.104142146,0.051280741,0.053371735,0.099291091
493.1,0.082741792,0.291202157,0.106927765,0.052469249,0.054694184,0.093884311
494,0.077285844,0.299297915,0.110364436,0.05379085,0.055937794,0.088072319
494.9,0.072815798,0.307763282,0.115032002,0.054947992,0.057120368,0.083167391
495.8,0.068539881,0.315341082,0.119181608,0.055873706,0.058212236,0.078285352
496.6,0.064035079,0.322229682,0.122907352,0.056802811,0.058898892,0.074429058
497.5,0.060055017,0.329706603,0.125264023,0.05749964,0.059845799,0.070151446
498.4,0.057389775,0.337072472,0.128626942,0.059040801,0.060423099,0.066813959
499.3,0.055151785,0.342181701,0.13073184,0.059724914,0.061286929,0.06330947
500.2,0.05213728,0.343580445,0.131861007,0.0601954,0.061563287,0.059419267
501.1,0.049721269,0.344183176,0.132073786,0.060136907,0.062044794,0.056041089
502,0.048383561,0.345123301,0.132662106,0.060358163,0.062369472,0.05296131
502.8,0.04752736,0.344166222,0.132724837,0.060096217,0.062494935,0.050927621
503.7,0.045279198,0.342218153,0.132121258,0.059796123,0.062156693,0.048687088
504.6,0.043540517,0.33991065,0.130912405,0.06025135,0.06135729,0.047164577
505.5,0.042094301,0.33742682,0.129261039,0.059828336,0.06029594,0.045723447
506.4,0.041581428,0.333295016,0.12694845,0.059483313,0.059518578,0.045032553
507.3,0.040681146,0.329642176,0.124690115,0.058418572,0.059507557,0.043991548
508.2,0.039916499,0.328176462,0.123438875,0.058129498,0.060015344,0.043216729
