W,I
380.5,0.017464332
381.3,0.017464756
382.2,0.017782652
383,0.01789879
383.9,0.01758598
384.7,0.017914049
385.6,0.01756394
386.4,0.017863186
387.3,0.017304536
388.1,0.017890313
388.9,0.018687173
389.8,0.019443342
390.6,0.01959678
391.5,0.019255148
392.3,0.018642244
393.2,0.018602401
394,0.018738037
394.9,0.019212762
395.7,0.019474708
396.6,0.019654426
397.4,0.01943317
398.3,0.01958576
399.1,0.0197943
400,0.019892636
400.8,0.01994689
401.6,0.019555242
402.5,0.020060485
403.3,0.020262243
404.2,0.020769182
405,0.021185414
405.9,0.021910218
406.7,0.022587549
407.6,0.02339119
408.4,0.023499699
409.3,0.023954927
410.1,0.02395747
411,0.024423718
411.8,0.024829777
412.7,0.02554356
413.5,0.026191221
414.3,0.027255114
415.2,0.028030781
416,0.029149776
416.9,0.030136526
417.7,0.031419979
418.6,0.032974704
419.4,0.034500606
420.3,0.036161296
421.1,0.037298093
422,0.039293634
422.8,0.041145062
423.7,0.043505972
424.5,0.045532879
425.4,0.0474055
426.2,0.049996991
427,0.052940286
427.9,0.056655858
428.7,0.059633911
429.6,0.061672686
430.4,0.06406157
431.3,0.067488068
432.1,0.070681442
433,0.073419589
433.8,0.075812712
434.7,0.078899274
435.5,0.082229131
436.4,0.084808754
437.2,0.08792329
438.1,0.090981876
438.9,0.093535219
439.7,0.095941058
440.6,0.096986301
441.4,0.099260743
442.3,0.100665421
443.1,0.103157727
444,0.10447509
444.8,0.105142248
445.7,0.104886236
446.5,0.104669218
447.4,0.104496283
448.2,0.104015624
449.1,0.102127743
449.9,0.100590821
450.7,0.098842815
451.6,0.097776379
452.4,0.095265422
453.3,0.092132236
454.1,0.088572646
455,0.085982851
455.8,0.083332867
456.7,0.080948221
457.5,0.078175318
458.4,0.075645711
459.2,0.072208192
460.1,0.068902071
460.9,0.065627315
461.8,0.06387168
462.6,0.061984648
463.4,0.060746124
464.3,0.058970143
465.1,0.057857082
466,0.055711494
466.8,0.055140129
467.7,0.053790553
468.5,0.053462484
469.4,0.052162076
470.2,0.051466943
471.1,0.050443741
471.9,0.04929338
472.8,0.048447352
473.6,0.048493129
474.5,0.048352407
475.3,0.047724244
476.1,0.047054543
477,0.047123208
477.8,0.047415673
478.7,0.047277494
479.5,0.046866348
480.4,0.046765469
481.2,0.045948263
482.1,0.046350084
482.9,0.045928766
483.8,0.047216458
484.6,0.04654167
485.5,0.046763773
486.3,0.046829048
487.2,0.047669142
488,0.048872062
488.8,0.049863898
489.7,0.050986284
490.5,0.052232437
491.4,0.053249705
492.2,0.054308512
493.1,0.054659469
493.9,0.055476675
494.8,0.056730458
495.6,0.058631054
496.5,0.060227317
497.3,0.061882073
498.2,0.063624993
499,0.065791774
499.9,0.067774599
500.7,0.07073061
501.5,0.072969448
502.4,0.075301535
503.2,0.077328442
504.1,0.080078457
504.9,0.082357985
505.8,0.084050889
506.6,0.085761595
507.5,0.088211515
508.3,0.089873053
509.2,0.091254843
510,0.091889787
510.9,0.093376694
511.7,0.094086239
512.5,0.094969567
513.3,0.09521032
514.1,0.095650289
514.9,0.095953774
515.7,0.095383256
516.5,0.094986521
517.3,0.093283445
518,0.092718013
518.8,0.09098781
519.6,0.090349474
520.4,0.088894781
521.2,0.087463823
522,0.086286336
522.8,0.084877419
523.6,0.084800276
524.3,0.083420183
525.1,0.083104829
525.9,0.081611141
526.7,0.081519587
527.5,0.080290388
528.3,0.080093716
529.1,0.079274815
529.9,0.079279054
530.6,0.07974954
531.4,0.079785992
532.2,0.079806338
533,0.078832303
533.8,0.078854344
534.6,0.07921717
535.4,0.080869383
536.2,0.081829853
536.9,0.081860371
537.7,0.081866306
538.5,0.082592805
539.3,0.084924044
540.1,0.086364326
540.9,0.087243415
541.7,0.087961437
542.5,0.089561091
543.2,0.090750447
544,0.092336538
544.8,0.094280368
545.6,0.096514119
546.4,0.097953553
547.2,0.099149691
548,0.100968058
548.8,0.101752202
549.5,0.102142155
550.3,0.102304918
551.1,0.1027025
551.9,0.101870036
552.7,0.101988717
553.5,0.101539423
554.3,0.101344447
555.1,0.099361622
555.8,0.098974212
556.6,0.099147148
557.4,0.099532014
558.2,0.097612768
559,0.094568594
559.8,0.091727025
560.6,0.08974759
561.4,0.087312929
562.1,0.085687843
562.9,0.084039021
563.7,0.082991235
564.5,0.080362444
565.3,0.078054093
566.1,0.077013089
566.9,0.075253215
567.7,0.073517077
568.4,0.071415571
569.2,0.070484771
570,0.06880204
570.8,0.06723799
571.6,0.066170706
572.4,0.066344489
573.2,0.066469952
574,0.065988446
574.7,0.064840628
575.5,0.063552936
576.3,0.06278829
577.1,0.062015166
577.9,0.060988573
578.7,0.060513848
579.5,0.060482482
580.3,0.060857176
581,0.060236642
581.8,0.060312089
582.6,0.059772937
583.4,0.059941634
584.2,0.059544052
585,0.05992468
585.8,0.060092529
586.6,0.059454193
587.3,0.059216831
588.1,0.059959436
588.9,0.061731178
589.6,0.062076202
590.4,0.061060629
591.1,0.060092529
591.9,0.059840755
592.6,0.060117961
593.4,0.059848385
594.1,0.060265465
594.9,0.061246281
595.6,0.062436484
596.3,0.062180472
597.1,0.061724397
597.8,0.06135818
598.6,0.062632308
599.3,0.063524113
600.1,0.064270958
600.8,0.063769106
601.6,0.063001068
602.3,0.061843078
603.1,0.060893628
603.8,0.060204429
604.6,0.060201038
605.3,0.059912812
606.1,0.059344837
606.8,0.058559845
607.6,0.057850301
608.3,0.0564168
609.1,0.054846816
609.8,0.052811432
610.6,0.052538465
611.3,0.051446598
612,0.050926943
612.8,0.049733349
613.5,0.047652188
614.3,0.047401261
615,0.045949111
615.8,0.045790587
616.5,0.044500352
617.3,0.0433466
618,0.042491247
618.8,0.040449081
619.5,0.039673415
620.3,0.038595958
621,0.038382332
621.8,0.038314514
622.5,0.037210778
623.3,0.03666993
624,0.035758628
624.8,0.036389334
625.5,0.036496147
626.3,0.035847639
627,0.034993981
627.7,0.033468927
628.5,0.03249574
629.2,0.032001517
